1,Muhammed MacIntyre,"Eldon Base for stackable storage shelf, platinum",3,-213.25,38.94,35,Nunavut,Storage & Organization,0.8
2,Barry French,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",293,457.81,208.16,68.02,Nunavut,Appliances,0.58
3,Barry French,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
4,Clay Rozendal,"R380",483,1198.97,195.99,3.99,Nunavut,Telephones and Communication,0.58
5,Carlos Soltero,"Holmes HEPA Air Purifier",515,30.94,21.78,5.94,Nunavut,Appliances,0.5
6,Carlos Soltero,"G.E. Longer-Life Indoor Recessed Floodlight Bulbs",515,4.43,6.64,4.95,Nunavut,Office Furnishings,0.37
7,Carl Jackson,"Angle-D Binders with Locking Rings, Label Holders",613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
8,Carl Jackson,"SAFCO Mobile Desk Side File, Wire Frame",613,127.70,42.76,6.22,Nunavut,Storage & Organization,
9,Monica Federle,"SAFCO Commercial Wire Shelving, Black",643,-695.26,138.14,35,Nunavut,Storage & Organization,
10,Dorothy Badders,"Xerox 198",678,-226.36,4.98,8.33,Nunavut,Paper,0.38
11,Neola Schneider,"Xerox 1980",807,-166.85,4.28,6.18,Nunavut,Paper,0.4
12,Neola Schneider,"Advantus Map Pennant Flags and Round Head Tacks",807,-14.33,3.95,2,Nunavut,Rubber Bands,0.53
13,Carlos Daly,"Holmes HEPA Air Purifier",868,134.72,21.78,5.94,Nunavut,Appliances,0.5
14,Carlos Daly,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",868,114.46,47.98,3.61,Nunavut,Computer Peripherals,0.71
15,Claudia Miner,"Wilson Jones 1"" Hanging DublLock Ring Binders",933,-4.72,5.28,2.99,Nunavut,Binders and Binder Accessories,0.37
16,Neola Schneider,"Ultra Commercial Grade Dual Valve Door Closer",995,782.91,39.89,3.04,Nunavut,Office Furnishings,0.53
17,Allen Rosenblatt,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",998,93.80,15.74,1.39,Nunavut,Envelopes,0.4
18,Sylvia Foulston,"Hon 4-Shelf Metal Bookcases",1154,440.72,100.98,26.22,Nunavut,Bookcases,0.6
19,Sylvia Foulston,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1154,-481.04,71.37,69,Nunavut,Tables,0.68
20,Jim Radford,"g520",1344,-11.68,65.99,5.26,Nunavut,Telephones and Communication,0.59
21,Jim Radford,"LX 788",1344,313.58,155.99,8.99,Nunavut,Telephones and Communication,0.58
22,Carlos Soltero,"Avery 52",1412,26.92,3.69,0.5,Nunavut,Labels,0.38
23,Carlos Soltero,"Plymouth Boxed Rubber Bands by Plymouth",1412,-5.77,4.71,0.7,Nunavut,Rubber Bands,0.8
